capa intermedia;bottleneck;serie;ventana;desplazamiento;peor MCC;promedio MCC;mejor MCC;mejor modelo
15;5;Simple-1-1P;20;20;1,0;1,0;1,0;0,0
15;5;Simple-1-1P;20;10;0,9715480298902084;0,9715480298902083;0,9715480298902084;0,0
15;5;Simple-1-1P;20;1;0,9498834328912958;0,9505837476183784;0,95688658016212;2,0
15;5;Simple-1-1P;40;40;0,7071067811865475;0,7071067811865476;0,7071067811865475;0,0
15;5;Simple-1-1P;40;20;0,7205766921228921;0,720576692122892;0,7205766921228921;0,0
15;5;Simple-1-1P;40;1;0,6993120340692758;0,6993120340692759;0,6993120340692758;0,0
15;5;Simple-1-1P;60;60;0,5527707983925666;0,5527707983925667;0,5527707983925666;0,0
15;5;Simple-1-1P;60;30;0,5527707983925666;0,5527707983925667;0,5527707983925666;0,0
15;5;Simple-1-1P;60;1;0,5376905073640548;0,5376905073640547;0,5376905073640548;0,0
15;5;Simple-1-1P-Nois025;20;20;0,9710083124552245;0,9739074812097019;1,0;1,0
15;5;Simple-1-1P-Nois025;20;10;0,9715480298902084;0,9715480298902083;0,9715480298902084;0,0
15;5;Simple-1-1P-Nois025;20;1;0,9610230389920296;0,9610230389920297;0,9610230389920296;0,0
15;5;Simple-1-1P-Nois025;40;40;0,7071067811865475;0,7071067811865476;0,7071067811865475;0,0
15;5;Simple-1-1P-Nois025;40;20;0,7205766921228921;0,720576692122892;0,7205766921228921;0,0
15;5;Simple-1-1P-Nois025;40;1;0,6993120340692758;0,6993120340692759;0,6993120340692758;0,0
15;5;Simple-1-1P-Nois025;60;60;0,5527707983925666;0,5527707983925667;0,5527707983925666;0,0
15;5;Simple-1-1P-Nois025;60;30;0,5527707983925666;0,5527707983925667;0,5527707983925666;0,0
15;5;Simple-1-1P-Nois025;60;1;0,5376905073640548;0,5376905073640547;0,5376905073640548;0,0
15;5;Simple-1-1P-Nois05;20;20;0,9121593238215744;0,9245735646962636;0,9710083124552245;7,0
15;5;Simple-1-1P-Nois05;20;10;0,9133775774753002;0,9193546190454602;0,9428294945240804;2,0
15;5;Simple-1-1P-Nois05;20;1;0,8984414509070452;0,9051487893755501;0,9130816110038176;5,0
15;5;Simple-1-1P-Nois05;40;40;0,7071067811865475;0,7071067811865476;0,7071067811865475;0,0
15;5;Simple-1-1P-Nois05;40;20;0,7205766921228921;0,720576692122892;0,7205766921228921;0,0
15;5;Simple-1-1P-Nois05;40;1;0,6993120340692758;0,6993120340692759;0,6993120340692758;0,0
15;5;Simple-1-1P-Nois05;60;60;0,5527707983925666;0,5527707983925667;0,5527707983925666;0,0
15;5;Simple-1-1P-Nois05;60;30;0,2854496128592251;0,5260386798392325;0,5527707983925666;0,0
15;5;Simple-1-1P-Nois05;60;1;0,5376905073640548;0,5376905073640547;0,5376905073640548;0,0
15;5;Simple-1-1P-Nois10;20;20;0,8516306272526402;0,8516306272526402;0,8516306272526402;0,0
15;5;Simple-1-1P-Nois10;20;10;0,807871136801946;0,8422673601045692;0,8695703711549787;2,0
